Title,Year,Company,Form,Episodes,Genres,Link
.hack//G.U. Returner,  2007,Bee Train  ,OVA ,1,"Adventure,Drama,Fantasy",https://www.animeunity.tv/anime/830-hackgu-returner/
.hack//Intermezzo (ITA),  2003,Bee Train  ,Special ,1,"Adventure,Fantasy,Game",https://www.animeunity.tv/anime/827-hackintermezzo-ita/
.hack//Quantum,  2011,Kinema Citrus  ,ONA ,3,"Action,Adventure,Fantasy",https://www.animeunity.tv/anime/831-hackquantum/
.hack//Roots,  2006,Bee Train  ,TV ,26,"Adventure,Drama,Fantasy",https://www.animeunity.tv/anime/829-hackroots/
.hack//Sign (ITA),  2002,Bee Train  ,TV ,26,"Adventure,Fantasy,Game",https://www.animeunity.tv/anime/445-hacksign-ita/
.hack//Tasogare no Udewa Densetsu,  2003,Bee Train  ,TV ,12,"Adventure,Comedy,Fantasy",https://www.animeunity.tv/anime/834-hacktasogare-no-udewa-densetsu/
.hack//The Movie: Sekai no Mukou ni,  2012,Anima  ,Movie ,1,"Action,Adventure,Fantasy",https://www.animeunity.tv/anime/833-hackthe-movie-sekai-no-mukou-ni/
.hack//Unison (ITA),  2003,Bee Train  ,Special ,1,"Adventure,Comedy,Fantasy",https://www.animeunity.tv/anime/828-hackunison-ita/
.hack//Versus: The Thanatos Report,  2012,CyberConnect2  ,Special ,1,"Action,Game,Sci-fi",https://www.animeunity.tv/anime/832-hackversus-the-thanatos-report/
07-Ghost,  2009,Studio Deen  ,TV ,25,"Action,Demons,Fantasy",https://www.animeunity.tv/anime/686-07-ghost/
100-man no Inochi no Ue ni Ore wa Tatteiru,  2020,Maho Film  ,TV ,12,"Action,Drama,Fantasy",https://www.animeunity.tv/anime/2796-100-man-no-inochi-no-ue-ni-ore-wa-tatteiru/
100-man no Inochi no Ue ni Ore wa Tatteiru 2,2021,,TV ,12,"Action,Drama,Fantasy",https://www.animeunity.tv/anime/3149-100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-2/
11eyes,  2009,Doga Kobo  ,TV ,12,"Action,Ecchi,Super Power",https://www.animeunity.tv/anime/1076-11eyes/
11eyes: Momoiro Genmutan,  2010,Doga Kobo  ,Special ,1,"Comedy,Ecchi,Super Power",https://www.animeunity.tv/anime/1481-11eyes-momoiro-genmutan/
12-Sai. Chiccha na Mune no Tokimeki,  2016,OLM  ,TV ,12,"Romance,School,Shoujo",https://www.animeunity.tv/anime/3554-12-sai-chiccha-na-mune-no-tokimeki/
12-Sai. Chiccha na Mune no Tokimeki 2,  2016,OLM  ,TV ,12,"Romance,School,Shoujo",https://www.animeunity.tv/anime/3555-12-sai-chiccha-na-mune-no-tokimeki-2/
18if,  2017,Gonzo  ,TV ,12,"Mystery,Supernatural,",https://www.animeunity.tv/anime/4006-18if/
2.43: Seiin Koukou Danshi Volley-bu,  2021,David Production  ,TV ,12,"School,Sports,",https://www.animeunity.tv/anime/2921-243-seiin-koukou-danshi-volley-bu/
22/7,  2020,A-1 Pictures  ,TV ,12,Music,https://www.animeunity.tv/anime/2037-227/
25-sai no Joshikousei,  2022,Lilix  ,ONA ,12,"Hentai,Romance,School",https://www.animeunity.tv/anime/4090-25-sai-no-joshikousei/
3-gatsu no Lion,  2016,Shaft  ,TV ,22,"Drama,Game,Seinen",https://www.animeunity.tv/anime/2602-3-gatsu-no-lion/
